Time Steps, Sol Vals 1st component, Difference of (i+1)th and ith step of 1st component
---------------------------------
-2.000000	1.000000	-0.002495
-1.997500	0.997505	-0.002489
-1.995000	0.995017	-0.002482
-1.992500	0.992534	-0.024302
-1.967500	0.968232	-0.023720
-1.942500	0.944511	-0.023141
-1.917500	0.921370	-0.184716
-1.694490	0.736654	-0.001278
-1.692753	0.735377	-0.001276
-1.691016	0.734101	-0.001273
-1.689279	0.732828	-0.003979
-1.683824	0.728849	-0.003958
-1.678370	0.724891	-0.003936
-1.672916	0.720955	-0.003919
-1.667462	0.717036	-0.003900
-1.662007	0.713136	-0.003879
-1.656553	0.709257	-0.003858
-1.651099	0.705399	-0.003837
-1.645644	0.701562	-0.003986
-1.639947	0.697576	0.000000
-1.275952	0.697576	0.000000
-0.911958	0.697576	0.000000
-0.547963	0.697576	0.000000
-0.183968	0.697576	0.000000
0.180027	0.697576	0.000000
0.544021	0.697576	0.000000
0.908016	0.697576	0.000000
1.272011	0.697576	0.000000
1.636005	0.697576	0.000000
